id,category,year,rating,genre,certification,movies,degree
The Devil Wears Prada,movie,2006,6.9,"Comedy, Drama",PG-13,,3
John D'Leo,actor,,,,,1,2
The Nines,movie,2007,6.2,"Drama, Fantasy, Mystery",R,,3
Paddy Considine,actor,,,,,1,2
Rajkummar Rao,actor,,,,,15,1
Shane Brolly,actor,,,,,2,2
Taye Diggs,actor,,,,,2,2
Dickie Jones,actor,,,,,1,2
Sandra Bullock,actor,,,,,4,2
Sliver,movie,1993,5.1,"Drama, Thriller",R,,3
Arlington Road,movie,1999,7.2,"Action, Crime, Drama",R,,3
Matt Damon,actor,,,,,9,2
Christian Camargo,actor,,,,,1,2
Defending Your Life,movie,1991,7.2,"Comedy, Drama, Fantasy",PG,,3
Elizabethtown,movie,2005,6.3,"Comedy, Drama, Romance",PG-13,,3
Michael Biehn,actor,,,,,2,2
Leonard Termo,actor,,,,,1,2
Vedant Sinha,actor,,,,,1,2
Virus,movie,1999,5.0,"Action, Horror, Sci-Fi",R,,3
Lena Olin,actor,,,,,2,2
Liv Tyler,actor,,,,,14,1
The Outsiders,movie,1983,7.0,"Crime, Drama",PG,,3
John Magaro,actor,,,,,1,2
Mary Gibbs,actor,,,,,1,2
Thomas Jane,actor,,,,,2,2
True Lies,movie,1994,7.3,"Action, Comedy, Thriller",R,,3
Open Season,movie,2006,6.1,"Animation, Adventure, Comedy",PG,,3
Josh Hutcherson,actor,,,,,7,2
News of the World,movie,2020,6.8,"Action, Adventure, Drama",PG-13,,3
Don Brodie,actor,,,,,1,2
Untamed Heart,movie,1993,6.8,"Drama, Romance",PG-13,,3
Jonathan Tucker,actor,,,,,2,2
Ken Sansom,actor,,,,,1,2
Mia Farrow,actor,,,,,5,2
Emile Hirsch,actor,,,,,3,2
David Proval,actor,,,,,1,2
Burgess Meredith,actor,,,,,1,2
Lucas Black,actor,,,,,1,2
Kate Bosworth,actor,,,,,3,2
Martin Freeman,actor,,,,,1,2
Abigail Spencer,actor,,,,,1,2
Mary Steenburgen,actor,,,,,3,2
Beetlejuice,movie,1988,7.5,"Comedy, Fantasy",PG,,3
Jeffrey Jones,actor,,,,,1,2
Glenne Headly,actor,,,,,1,2
Queen,movie,2013,8.1,"Adventure, Comedy, Drama",Not Rated,,3
Matt LeBlanc,actor,,,,,1,2
Teyonah Parris,actor,,,,,1,2
Zita Johann,actor,,,,,1,2
Gil Bellows,actor,,,,,1,2
Mila Kunis,actor,,,,,1,2
Thomas Horn,actor,,,,,1,2
Iron Man 2,movie,2010,6.9,"Action, Sci-Fi",PG-13,,3
Cookie's Fortune,movie,1999,6.8,"Comedy, Drama",PG-13,,3
Jackie Chan,actor,,,,,1,2
Erik the Viking,movie,1989,6.1,"Comedy, Adventure, Fantasy",PG-13,,3
Mamie Gummer,actor,,,,,1,2
Jake Lacy,actor,,,,,1,2
Federico Ielapi,actor,,,,,1,2
Donald Pleasence,actor,,,,,1,2
Kriti Sanon,actor,,,,,1,2
Centurion,movie,2010,6.3,"Action, Drama, History",R,,3
Peter Friedman,actor,,,,,2,2
Southland Tales,movie,2006,5.3,"Comedy, Drama, Mystery",R,,3
2010: The Year We Make Contact,movie,1984,6.7,"Adventure, Mystery, Sci-Fi",PG,,3
Sarah-Sofie Boussnina,actor,,,,,1,2
Ric Roman Waugh,actor,,,,,1,2
Just Go with It,movie,2011,6.4,"Comedy, Romance",PG-13,,3
Don Johnson,actor,,,,,1,2
Julia Ormond,actor,,,,,2,2
Cam Gigandet,actor,,,,,3,2
Hope and Glory,movie,1987,7.3,"Comedy, Drama, Romance",PG-13,,3
Justin Henry,actor,,,,,1,2
Kate Mara,actor,,,,,1,2
Leap Year,movie,2010,6.4,"Comedy, Romance",PG,,3
Lisa Boyle,actor,,,,,1,2
Ajay Naidu,actor,,,,,1,2
Asher Miles Fallica,actor,,,,,1,2
Miranda Richardson,actor,,,,,1,2
Underworld,movie,2003,7.0,"Action, Fantasy, Thriller",R,,3
Adrian Zmed,actor,,,,,1,2
Adam Driver,actor,,,,,1,2
Melanie Griffith,actor,,,,,3,2
Kristen Wiig,actor,,,,,3,2
Gemma Jones,actor,,,,,3,2
Simply Irresistible,movie,1999,5.2,"Comedy, Drama, Fantasy",PG-13,,3
Raoul Bova,actor,,,,,1,2
Saving Mr. Banks,movie,2013,7.5,"Biography, Comedy, Drama",PG-13,,3
Blast from the Past,movie,1999,6.7,"Comedy, Drama, Romance",PG-13,,3
It Could Happen to You,movie,1994,6.4,"Comedy, Drama, Romance",PG,,3
Peter Sellers,actor,,,,,1,2
Simon Pegg,actor,,,,,4,2
Teri Polo,actor,,,,,3,2
Kelsey Grammer,actor,,,,,3,2
Minnie Driver,actor,,,,,1,2
Rogue One: A Star Wars Story,movie,2016,7.8,"Action, Adventure, Sci-Fi",PG-13,,3
John Krasinski,actor,,,,,1,2
Tom Pelphrey,actor,,,,,1,2
Better Living Through Chemistry,movie,2014,6.2,"Comedy, Drama",Not Rated,,3
Charles Durning,actor,,,,,2,2
Drugstore Cowboy,movie,1989,7.3,"Crime, Drama",R,,3
Sarah Paulson,actor,,,,,1,2
Red State,movie,2011,6.1,"Action, Crime, Horror",R,,3
Taylor Swift,actor,,,,,1,2
Something to Talk About,movie,1995,5.7,"Comedy, Drama, Romance",R,,3
Dan Fogler,actor,,,,,1,2
Raising Arizona,movie,1987,7.3,"Comedy, Crime",PG-13,,3
Stephen Root,actor,,,,,1,2
Jim Carter,actor,,,,,1,2
Emmanuelle Seigner,actor,,,,,1,2
The Circle,movie,2017,5.3,"Drama, Mystery, Sci-Fi",PG-13,,3
Matthew Lillard,actor,,,,,4,2
Joseph Melito,actor,,,,,1,2
AJ Meijer,actor,,,,,1,2
Mary Jo Smith,actor,,,,,1,2
Charles Laughton,actor,,,,,1,2
Julianne Moore,actor,,,,,14,2
Steve Buscemi,actor,,,,,8,2
Men of Honor,movie,2000,7.2,"Biography, Drama",R,,3
Priyanka Chopra Jonas,actor,,,,,1,2
Ariana Greenblatt,actor,,,,,1,2
Dominique Sanda,actor,,,,,1,2
Hilton McRae,actor,,,,,1,2
Stephen Dorff,actor,,,,,3,2
Jonah Bobo,actor,,,,,1,2
Faye Dunaway,actor,,,,,3,2
Helen Behan,actor,,,,,1,2
Katie Schlossberg,actor,,,,,1,2
Half Light,movie,2006,6.0,"Drama, Horror, Mystery",R,,3
Gods and Monsters,movie,1998,7.3,"Biography, Drama",R,,3
Mary Elizabeth Mastrantonio,actor,,,,,2,2
Emily Browning,actor,,,,,3,2
Gackt,actor,,,,,1,2
Gerard Butler,actor,,,,,7,2
Causeway,movie,2022,6.6,Drama,R,,3
Amy Hargreaves,actor,,,,,1,2
Magnolia,movie,1999,8.0,Drama,R,,3
Josh Lucas,actor,,,,,3,2
Marcia Gay Harden,actor,,,,,2,2
Pawn Shop Chronicles,movie,2013,5.9,"Action, Comedy, Crime",R,,3
Eddie Albert,actor,,,,,1,2
Richard E. Grant,actor,,,,,4,2
Richard Bradford,actor,,,,,1,2
Adam Sandler,actor,,,,,6,2
Pauly Shore,actor,,,,,2,2
Johanna ter Steege,actor,,,,,2,2
Four Brothers,movie,2005,6.8,"Action, Crime, Drama",R,,3
Neil Crone,actor,,,,,1,2
The Change-Up,movie,2011,6.3,"Comedy, Fantasy",R,,3
Francesca Annis,actor,,,,,1,2
Cobie Smulders,actor,,,,,2,2
The House That Jack Built,movie,2018,6.8,"Crime, Drama, Horror",R,,3
J.J. Soria,actor,,,,,1,2
Mary Kay Bergman,actor,,,,,1,2
Kevin Zegers,actor,,,,,1,2
Frances McDormand,actor,,,,,8,2
Beatriz at Dinner,movie,2017,6.0,"Comedy, Drama",R,,3
Sheila Kelley,actor,,,,,1,2
